Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFMBA
Camacho_et_al_2024,SEM_1059_011,Surface Water,28.713831,-81.444185,,,EPA 1633,0,3.2,0,0,0,0,2.2,0,,,0,,,,,,,,,0,6.3,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SEM_1061_012,Surface Water,28.688462,-81.459599,,,EPA 1633,0,7.9,0,1.6,2.3,0,7.6,5,,,0,,,,,,,,,0,8.8,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SEM_1062_013,Surface Water,28.665858,-81.410712,,,EPA 1633,0,9.9,0,1.1,2.4,10.9,9.4,6.2,,,0,,,,,,,,,0,10.9,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SEM_1063_014,Surface Water,28.652228,-81.400845,,,EPA 1633,9.8,11.1,0,1.5,2.3,0,10.5,6.9,,,0,,,,,,,,,0,7.9,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SEM_1521_015,Surface Water,28.83670556,-81.32308333,,,EPA 1633,0,3.7,0,0,0,0,4.4,0,,,0,,,,,,,,,0,6.8,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SEM_2034_024,Surface Water,28.7228,-81.2577,,,EPA 1633,0,6.9,0,0,1.9,11.7,8.2,6.2,,,0,,,,,,,,,0,7.7,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SEM_2462_025,Surface Water,28.793056,-81.058611,,,EPA 1633,2.1,3.3,0,0,0,0,0,0,,,0,,,,,,,,,0,4.8,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SEM_2463_026,Surface Water,28.67777,-81.11416,,,EPA 1633,3.6,5.2,0,0,0,4.6,8.8,5.2,,,0,,,,,,,,,0,5.6,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SEM_2464_027,Surface Water,28.63277,-81.12138,,,EPA 1633,4.1,7.7,0,0,0,0,5.8,5.1,,,0,,,,,,,,,0,10,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,STJ_0305_001,Surface Water,30.2435,-81.3821,,,EPA 1633,9.1,11.3,1.5,7.2,2.1,0,11.1,3.8,,,0,,,,,,,,,0,5.5,,,,,,,,,,,2.3,,,,,,,,,,,0,,0.4,,0,0,,,,,
