Article (Author et al YYYY),Sample Name,Sample Type,Latitude (Decimal),Longitude (Decimal),Sample Date (MM/DD/YYY),Sample Time,Analysis Method,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFMBA,PFODA
NH_DES,199712055DB-102,Surface Water,42.8853,-71.4674,11/2/2018,,Undisclosed,2.9,38,,0,0.63,0.86,10,5.5,0,0,,0.92,,,,,,,7.3,0,0,3,,,,,,,,,,0,,,0,,0,0,,0,0,0,0,0,0,0,,,,,,,,
NH_DES,199712055DB-102,Surface Water,42.8853,-71.4674,10/2/2018,,Undisclosed,1.7,13,,0,0.44,0.69,4.5,2.9,0,0,,0,,,,,,,3.2,0,0.76,1.9,,,,,,,,,,0,,,0,,4.3,0,,0,0,0,0,0,0,0.67,,,,,,,,
NH_DES,199712055DB-102,Surface Water,42.8853,-71.4674,8/28/2018,,Undisclosed,17,290,,0,2.6,6.1,87,52,0,0,,3.3,,,,,,,72,2,4.3,18,,,,,,,,,,0,,,0,,0,0,,0,0,0,0,0,0,0,,,,,,,,
NH_DES,199712055DB-102,Surface Water,42.8853,-71.4674,6/5/2018,,Undisclosed,48,650,,0,5.2,17,240,110,0,,,,,,,,,,180,,8.3,41,,,,,,,,,,0,,,0,,,0,,0,0,,0,0,0,,,,,,,,,
NH_DES,199712055DB-102,Surface Water,42.8853,-71.4674,5/24/2018,,Undisclosed,5.9,100,,0,0.74,2.4,29,17,0,,,,,,,,,,22,,2,5.3,,,,,,,,,,0,,,0,,,0,,0,6.5,,0,0,0,,,,,,,,,
NH_DES,199712055DI-17,Surface Water,42.8941,-71.4657,11/13/2018,,Undisclosed,1.2,4.5,,0,0,0,1,0.75,0,0,,0,,,,,,,0,0,0,2.1,,,,,,,,,,1.7,,,0,,0,0,,0,0.96,0,0,1.7,3.4,0,,,,0,,,,
NH_DES,199712055DI-34,Surface Water,42.8943,-71.464,9/10/2018,,Undisclosed,790,880,,130,54,17,430,200,5.2,24,,260,,,,,,,200,3.7,6.5,120,,,,,,,,,,60,,,0,,12,51,,0,11,0,0,20,75,61,,,,,,,,
NH_DES,199712055401WNS,Surface Water,42.8852,-71.4672,10/2/2018,,Undisclosed,1.7,,,0,0.36,0.7,2.4,1.6,0,,,0,,,,,,,2.2,0,0.82,0,,,,,,,,,,0,,,0,,0,0,,0,0,0,0,0,0,0,,,,,,,,
NH_DES,199712055401WNS,Surface Water,42.8852,-71.4672,8/28/2018,,Undisclosed,2.6,7.1,,0,0.51,0.9,2.7,2.4,0,0,,0,,,,,,,2.9,0,2.4,0,,,,,,,,,,0,,,0,,0,0,,0,0,0,0,0,0,0,,,,,,,,
NH_DES,199712055401WNS,Surface Water,42.8852,-71.4672,6/5/2018,,Undisclosed,1.6,6.1,,0,0,0.88,2.9,1.4,0,,,,,,,,,,2.8,,1.1,0,,,,,,,,,,0,,,0,,,0,,0,0,,0,0,0,,,,,,,,,
NH_DES,199712055401WNS,Surface Water,42.8852,-71.4672,5/24/2018,,Undisclosed,1.3,5,,0,0,0.64,1.7,0.98,0,,,,,,,,,,2.1,,0.74,0,,,,,,,,,,0,,,0,,,0,,0,0,,0,0,0,,,,,,,,,
