Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFMBA,PFODA
Teymoorian_et_al_2021,Rivire Aulneuse Saint-Nicolas,Surface Water,46.7092,-71.3813,2020,,,Unnamed_SPE_LCMS_MS,,,0.30,0.21,0.00,0.00,0.00,0.00,0.45,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.58,0.00,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Aux Saumons Scotstown,Surface Water,45.526,-71.2733,2020,,,Unnamed_SPE_LCMS_MS,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Aux Chiens Rosemre,Surface Water,45.6525,-73.7835,2020,,,Unnamed_SPE_LCMS_MS,,,0.91,1.90,0.03,0.00,0.12,0.39,3.82,1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,3.30,0.04,1.06,3.88,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.94,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Bcancour Bcancour,Surface Water,46.352672,-72.438619,2020,,,Unnamed_SPE_LCMS_MS,,,0.25,0.46,0.00,0.00,0.05,0.00,0.45,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.43,0.00,0.15,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Chaudire Lvis,Surface Water,46.714483,-71.280997,2020,,,Unnamed_SPE_LCMS_MS,,,0.48,0.74,0.00,0.00,0.30,0.06,0.55,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.51,0.00,0.24,1.37,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Des Mille Iles Laval,Surface Water,45.5406,-73.8808,2020,,,Unnamed_SPE_LCMS_MS,,,0.60,0.39,0.00,0.00,0.16,0.16,0.55,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.31,0.00,0.18,0.20,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Des Prairies Montral,Surface Water,45.5343,-73.7266,2020,,,Unnamed_SPE_LCMS_MS,,,0.38,0.28,0.00,0.00,0.15,0.06,0.31,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.19,0.00,0.12,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire des Outaouais Saint-Placide,Surface Water,45.524,-74.2076,2020,,,Unnamed_SPE_LCMS_MS,,,0.40,0.25,0.00,0.00,0.16,0.07,0.41,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.31,0.00,0.16,0.54,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Du Cap Rouge Cap-Rouge Quebec,Surface Water,46.7472,-71.3425,2020,,,Unnamed_SPE_LCMS_MS,,,0.44,0.57,0.00,0.00,0.08,0.23,4.97,2.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,8.45,0.02,0.25,2.70,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.08,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Du Chne Saint-Eustache,Surface Water,45.5609,-73.9783,2020,,,Unnamed_SPE_LCMS_MS,,,59.54,6.77,2.67,0.00,1.86,41.34,48.47,21.13,1.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,39.82,4.96,3.20,13.26,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.54,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Du Chicot Saint-Eustache,Surface Water,45.581,-73.8602,2020,,,Unnamed_SPE_LCMS_MS,,,0.48,0.46,0.03,0.00,0.06,0.40,1.82,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2.20,0.02,0.22,2.37,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,5.79,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Etchemin Lvis,Surface Water,46.76038,-71.22938,2020,,,Unnamed_SPE_LCMS_MS,,,0.29,0.46,0.00,0.00,0.22,0.00,1.87,2.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2.13,0.00,0.17,0.80,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Mascouche Terrebonne Point 1,Surface Water,45.6951,-73.5934,2020,,,Unnamed_SPE_LCMS_MS,,,6.52,12.51,0.26,0.00,0.52,7.17,23.55,8.08,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,18.48,1.43,2.93,9.46,0.00,0.00,,,,,,,0.00,0.10,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Mascouche Terrebonne Point 2,Surface Water,45.6974,-73.5939,2020,,,Unnamed_SPE_LCMS_MS,,,4.41,2.84,0.26,0.00,0.52,2.45,5.64,2.60,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,7.18,0.20,1.43,2.92,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Nicolet Nicolet,Surface Water,46.2275,-72.62389,2020,,,Unnamed_SPE_LCMS_MS,,,0.25,0.25,0.00,0.00,0.10,0.00,0.08,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.07,0.19,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Richelieu Sorel-Tracy,Surface Water,46.019605,-73.132377,2020,,,Unnamed_SPE_LCMS_MS,,,0.67,0.84,0.24,0.00,0.13,0.31,0.94,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.02,0.03,0.43,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Saint-Franois Drummondville,Surface Water,45.8845,-72.4722,2020,,,Unnamed_SPE_LCMS_MS,,,0.91,0.94,0.00,0.06,0.19,0.00,1.29,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.33,0.03,0.44,1.26,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Saint-Franois Pierreville,Surface Water,46.06687,-72.81258,2020,,,Unnamed_SPE_LCMS_MS,,,0.83,1.48,0.08,0.08,0.21,0.06,2.17,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2.47,0.03,0.96,1.45,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Saint-Franois Fleurimont Sherbrooke,Surface Water,45.4396,-71.9164,2020,,,Unnamed_SPE_LCMS_MS,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Saint-Jacques Brossard Point 1,Surface Water,45.4321,-73.4842,2020,,,Unnamed_SPE_LCMS_MS,,,1.90,3.19,0.26,0.00,0.72,0.76,9.77,6.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,12.77,0.04,1.40,6.23,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Saint-Jacques Brossard Point 2,Surface Water,45.431238,-73.487156,2020,,,Unnamed_SPE_LCMS_MS,,,2.48,2.95,0.26,0.14,1.45,0.83,9.09,6.21,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,12.44,0.08,1.31,5.14,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Saint-Jacques Brossard Point 3,Surface Water,45.4294,-73.477,2020,,,Unnamed_SPE_LCMS_MS,,,1.05,3.19,0.18,0.10,1.08,0.55,10.90,6.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,11.16,0.05,1.26,3.84,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Saint-Rgis Sainte-Catherine,Surface Water,45.3993,-73.5639,2020,,,Unnamed_SPE_LCMS_MS,,,2.54,1.67,0.68,0.00,0.34,0.38,7.12,1.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,5.91,0.05,3.38,6.05,0.00,0.00,,,,,,,0.00,0.12,0.00,,0.00,0.00,,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,,,,,0.82,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Yamachiche Yamachiche,Surface Water,46.2662,-72.8066,2020,,,Unnamed_SPE_LCMS_MS,,,0.04,0.16,0.00,0.00,0.00,0.00,0.11,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.07,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Yamaska Saint-Hyacinthe,Surface Water,45.6745,-72.9309,2020,,,Unnamed_SPE_LCMS_MS,,,2.86,3.22,0.08,0.07,0.35,0.45,3.92,2.47,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,3.68,0.15,1.30,5.27,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Yamaska Yamaska,Surface Water,46.0052,-72.9121,2020,,,Unnamed_SPE_LCMS_MS,,,1.61,2.12,0.04,0.00,0.13,0.31,2.32,1.33,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.55,0.09,0.79,0.33,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Foss Daigneault Brossard,Surface Water,45.4262,-73.4552,2020,,,Unnamed_SPE_LCMS_MS,,,1.04,4.02,0.06,0.22,1.70,0.31,12.69,8.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,20.89,0.04,0.76,5.79,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Ruisseau Bertrand Montreal,Surface Water,45.5054,-73.7625,2020,,,Unnamed_SPE_LCMS_MS,,,1.13,0.85,0.05,0.00,0.14,0.12,1.64,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,3.09,0.00,0.43,1.67,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Saint-Jacques Brossard 1,Surface Water,45.4321,-73.4842,2020,,,Unnamed_SPE_LCMS_MS,,,1.57,6.78,0.11,0.43,4.46,0.59,11.02,12.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,11.60,0.06,1.70,5.20,0.00,0.00,,,,,,,0.00,0.11,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Ruisseau Henri Giroux Mirabel HG2,Surface Water,45.655743,-74.091661,2020,,,Unnamed_SPE_LCMS_MS,,,622.28,88.11,27.53,0.00,15.93,372.99,685.23,127.22,17.21,0.00,0.08,6.76,0.28,0.00,0.00,0.00,0.00,,539.44,43.15,28.07,122.16,0.00,0.00,,,,,,,0.00,0.23,0.00,,0.00,0.00,,0.00,0.00,0.10,0.00,0.00,1.89,0.00,0.00,,,,,1.01,0.06,,0.00,0.00
Teymoorian_et_al_2021,Ruisseau La Pinire Laval,Surface Water,45.6244,-73.64,2020,,,Unnamed_SPE_LCMS_MS,,,1.37,1.81,0.06,0.00,0.25,0.20,5.35,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,5.12,0.00,0.65,3.83,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Petite Rivire Du Chne Leclercville,Surface Water,46.572733,-71.993158,2020,,,Unnamed_SPE_LCMS_MS,,,0.09,0.26,0.00,0.00,0.11,0.00,0.07,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Grand Lac Saint-Franois La Source Saint-Romain,Surface Water,45.8122,-71.1023,2020,,,Unnamed_SPE_LCMS_MS,,,0.14,0.34,0.00,0.00,0.18,0.00,0.11,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.18,0.00,0.10,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Lac Archambault Saint-Donat-de-Montcalm,Surface Water,46.3152,-74.2272,2020,,,Unnamed_SPE_LCMS_MS,,,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Lac Aylmer Disraeli,Surface Water,45.8979,-71.3574,2020,,,Unnamed_SPE_LCMS_MS,,,0.26,0.12,0.00,0.00,0.05,0.00,0.14,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.47,0.00,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Lac Brompton Saint-Denis-de-Brompton,Surface Water,45.4634,-72.133,2020,,,Unnamed_SPE_LCMS_MS,,,0.51,0.71,0.00,0.05,0.20,0.00,0.21,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.34,0.00,0.09,0.38,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Lac de lAchigan Saint-Hippolyte,Surface Water,45.9527,-73.9693,2020,,,Unnamed_SPE_LCMS_MS,,,0.05,0.00,0.03,0.05,0.18,0.00,0.13,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.03,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Lac Ouareau Saint-Donat-de-Montcalm,Surface Water,46.2808,-74.1597,2020,,,Unnamed_SPE_LCMS_MS,,,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.29,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,BOU1,Surface Water,45.64867,-73.48136,2020,,,Unnamed_SPE_LCMS_MS,,,3.77,2.26,0.09,0.00,0.38,1.05,1.64,1.16,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.69,0.19,0.64,2.83,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,BOU2,Surface Water,45.644183,-73.466233,2020,,,Unnamed_SPE_LCMS_MS,,,1.94,1.53,0.16,0.00,0.22,0.71,1.13,0.70,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.32,0.07,0.35,1.49,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,BOU3,Surface Water,45.64645,-73.4526,2020,,,Unnamed_SPE_LCMS_MS,,,2.11,1.65,0.08,0.00,0.15,0.87,1.46,0.96,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.30,0.12,0.50,1.43,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,BOU4,Surface Water,45.569363,-73.507785,2020,,,Unnamed_SPE_LCMS_MS,,,2.53,2.04,0.09,0.00,0.30,0.93,1.44,1.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.46,0.09,0.54,1.61,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,CAC_1,Surface Water,47.974967,-69.7165,2020,,,Unnamed_SPE_LCMS_MS,,,0.50,0.33,0.08,0.00,0.06,0.18,0.59,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.37,0.03,0.12,0.48,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.41,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,CAC_2,Surface Water,47.987831,-69.624706,2020,,,Unnamed_SPE_LCMS_MS,,,0.92,0.50,0.08,0.00,0.09,0.21,0.60,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.36,0.03,0.11,0.51,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.23,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,CAC_3,Surface Water,47.928483,-69.54455,2020,,,Unnamed_SPE_LCMS_MS,,,0.40,0.29,0.08,0.00,0.05,0.12,0.54,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.28,0.02,0.09,0.20,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.15,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,CON1,Surface Water,45.845717,-73.310067,2020,,,Unnamed_SPE_LCMS_MS,,,1.32,0.90,0.03,0.00,0.24,0.40,0.65,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.39,0.00,0.33,0.39,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,CON2,Surface Water,45.8538,-73.27965,2020,,,Unnamed_SPE_LCMS_MS,,,2.39,1.36,0.24,0.00,0.00,0.65,1.34,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.16,0.07,0.50,1.91,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,CON3,Surface Water,45.850167,-73.269167,2020,,,Unnamed_SPE_LCMS_MS,,,2.29,2.11,0.55,0.00,0.29,0.90,1.61,0.95,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.35,0.99,0.57,1.03,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,LSL_1,Surface Water,45.357467,-73.809383,2020,,,Unnamed_SPE_LCMS_MS,,,0.58,0.51,0.00,0.00,0.16,0.10,0.42,0.29,0.00,0.00,0.00,1.99,0.00,0.00,0.00,0.00,0.00,,0.49,0.00,0.13,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,LSL_2,Surface Water,45.396183,-73.838062,2020,,,Unnamed_SPE_LCMS_MS,,,2.90,2.13,0.50,0.23,0.31,1.06,1.83,1.07,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.86,0.57,0.73,2.25,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,LSL_3,Surface Water,45.379667,-73.809383,2020,,,Unnamed_SPE_LCMS_MS,,,2.83,1.85,0.28,0.00,0.35,0.90,1.55,0.66,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.29,0.09,0.52,1.58,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,LSPA_1,Surface Water,46.267261,-72.718877,2020,,,Unnamed_SPE_LCMS_MS,,,2.73,1.78,0.03,0.07,0.31,0.85,1.76,1.13,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.44,0.14,0.57,2.28,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,LSPA_2,Surface Water,46.263524,-72.708745,2020,,,Unnamed_SPE_LCMS_MS,,,2.19,1.41,0.07,0.00,0.31,0.67,0.97,0.66,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.93,0.08,0.44,1.59,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,LSPA3,Surface Water,46.256587,-72.694571,2020,,,Unnamed_SPE_LCMS_MS,,,2.30,1.84,0.00,0.00,0.19,0.92,1.54,0.94,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.27,0.11,0.78,1.63,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,LSPM_1,Surface Water,46.22665,-72.854883,2020,,,Unnamed_SPE_LCMS_MS,,,2.15,1.45,0.22,0.00,0.27,0.65,1.06,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.50,0.76,0.47,1.85,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.50,0.00,,0.00,0.00
